<DATE>	<TIME>	<OPEN>	<CLOSE>	<PRECO_ANT>
2022.05.10	09:00:00	5190.5	5192.5	5197.0
2022.05.11	09:00:00	5130.0	5140.5	5166.5
2022.05.12	09:00:00	5201.5	5200.0	5170.5
2022.05.13	09:00:00	5149.5	5148.0	5162.0
2022.05.16	09:00:00	5104.0	5105.5	5088.5
2022.05.17	09:03:00	5025.0	5026.5	5084.0
2022.05.18	09:00:00	4973.5	4974.5	4958.5
2022.05.19	09:00:00	4955.0	4957.5	4986.0
2022.05.20	09:00:00	4919.0	4931.5	4950.5
2022.05.23	09:00:00	4855.0	4857.0	4893.0
2022.05.24	09:00:00	4848.0	4844.5	4827.5
2022.05.25	09:00:00	4850.0	4846.5	4830.0
2022.05.26	09:00:00	4819.0	4819.5	4832.0
2022.05.27	09:00:00	4765.5	4765.5	4774.0
2022.05.30	09:00:00	4714.5	4716.5	4732.0
2022.05.31	09:00:00	4804.5	4809.5	4755.0
2022.06.02	09:00:00	4830.0	4833.0	4859.5
2022.06.03	09:00:00	4860.0	4856.5	4839.5
2022.06.06	09:00:00	4795.0	4798.5	4812.0
2022.06.13	09:00:00	5066.0	5080.0	5017.5
2022.06.15	09:00:00	5119.0	5120.5	5143.5
2022.06.17	09:00:00	5135.0	5140.0	5077.5
2022.06.21	09:00:00	5194.0	5188.0	5208.0
2022.06.22	09:00:00	5181.5	5188.0	5143.0
2022.06.24	09:00:00	5240.0	5236.5	5253.5
2022.06.28	09:00:00	5240.5	5245.0	5247.5
2022.06.29	09:00:00	5256.0	5257.0	5274.0
2022.06.30	09:00:00	5263.0	5271.0	5187.0
2022.07.01	09:00:00	5325.0	5332.5	5298.5
2022.07.04	09:00:00	5342.5	5350.0	5373.0
2022.07.05	09:00:00	5395.0	5391.5	5372.0
2022.07.06	09:00:00	5442.0	5442.0	5428.0
2022.07.07	09:00:00	5443.0	5444.0	5463.5
2022.07.08	09:00:00	5392.0	5399.5	5375.5
2022.07.11	09:00:00	5343.0	5348.5	5287.5
2022.07.13	09:00:00	5447.0	5452.5	5466.0
2022.07.14	09:00:00	5500.0	5498.0	5419.0
2022.07.15	09:00:00	5432.0	5432.5	5445.5
2022.07.18	09:00:00	5395.0	5401.0	5431.5
2022.07.19	09:00:00	5428.0	5427.5	5457.5
2022.07.20	09:00:00	5448.5	5442.5	5430.0
2022.07.21	09:00:00	5477.0	5480.5	5486.0
2022.07.22	09:00:00	5494.0	5498.5	5510.0
2022.07.25	09:00:00	5481.5	5483.5	5509.0
2022.07.26	09:00:00	5390.0	5392.0	5364.5
2022.07.27	09:00:00	5342.5	5344.5	5358.0
2022.07.28	09:00:00	5265.5	5265.0	5247.5
2022.07.29	09:00:00	5210.0	5216.0	5186.5
2022.08.01	09:00:00	5204.0	5210.0	5221.0
2022.08.02	09:00:00	5247.5	5256.0	5234.5
2022.08.03	09:00:00	5293.0	5288.5	5323.0
2022.08.05	09:00:00	5263.5	5270.5	5251.0
2022.08.08	09:00:00	5181.0	5180.5	5202.0
2022.08.09	09:00:00	5154.5	5150.0	5149.0
2022.08.10	09:00:00	5147.5	5145.5	5158.0
2022.08.11	09:00:00	5110.0	5112.0	5125.5
2022.08.12	09:00:00	5182.5	5186.0	5188.0
2022.08.15	09:00:00	5138.5	5146.0	5099.5
2022.08.16	09:00:00	5143.5	5151.5	5122.0
2022.08.17	09:00:00	5200.0	5204.0	5172.5
2022.08.19	09:00:00	5219.0	5218.5	5186.0
2022.08.22	09:00:00	5198.5	5201.0	5187.0
2022.08.23	09:00:00	5144.5	5146.0	5172.5
2022.08.25	09:00:00	5101.0	5097.5	5123.5
2022.08.29	09:00:00	5086.0	5093.0	5070.5
2022.08.30	09:00:00	5017.5	5018.5	5032.0
2022.08.31	09:00:00	5170.0	5179.5	5126.5
2022.09.01	09:00:00	5245.0	5243.0	5227.5
2022.09.02	09:00:00	5261.0	5260.0	5282.0
2022.09.05	09:00:00	5218.0	5220.0	5205.0
2022.09.06	09:00:00	5202.0	5203.5	5191.0
2022.09.08	09:00:00	5242.0	5232.5	5283.0
2022.09.09	09:00:00	5212.0	5212.0	5248.0
2022.09.12	09:00:00	5143.0	5147.0	5177.0
2022.09.13	09:00:00	5111.0	5110.0	5120.0
2022.09.15	09:00:00	5199.5	5206.5	5187.5
2022.09.19	09:00:00	5312.0	5308.5	5272.0
2022.09.20	09:00:00	5225.0	5221.0	5188.0
2022.09.22	09:00:00	5140.5	5138.0	5182.0
2022.09.23	09:00:00	5179.0	5182.0	5126.5
2022.09.26	09:00:00	5300.0	5304.0	5269.0
2022.09.27	09:00:00	5353.0	5350.5	5399.5
2022.09.28	09:00:00	5414.0	5414.0	5385.0
2022.09.29	09:00:00	5392.0	5400.0	5379.0
2022.09.30	09:00:00	5428.5	5422.0	5399.5
2022.10.03	09:05:00	5300.0	5298.0	5447.0
2022.10.04	09:00:00	5180.0	5166.0	5205.0
2022.10.05	09:00:00	5248.5	5256.0	5207.5
2022.10.07	09:00:00	5234.5	5241.5	5249.0
2022.10.10	09:00:00	5215.0	5214.5	5226.5
2022.10.13	09:00:00	5280.0	5280.0	5316.0
2022.10.14	09:00:00	5297.0	5297.5	5281.0
2022.10.17	09:00:00	5290.0	5295.0	5340.5
2022.10.18	09:00:00	5286.5	5287.0	5299.5
2022.10.19	09:00:00	5290.0	5289.0	5252.5
2022.10.20	09:00:00	5261.0	5257.5	5282.0
2022.10.21	09:00:00	5247.0	5241.5	5227.5
2022.10.24	09:00:00	5209.5	5219.5	5173.5
2022.10.25	09:00:00	5298.5	5305.0	5307.5
2022.10.26	09:00:00	5297.0	5294.5	5321.5
2022.10.28	09:00:00	5352.5	5361.5	5339.0
2022.10.31	09:00:00	5434.0	5436.5	5301.5
2022.11.01	09:00:00	5179.5	5179.5	5214.0
2022.11.03	09:03:00	5220.0	5215.5	5170.0
2022.11.04	09:00:00	5090.0	5099.0	5142.0
2022.11.08	09:00:00	5200.0	5204.5	5184.5
2022.11.09	09:00:00	5193.5	5190.0	5171.5
2022.11.10	09:00:00	5264.5	5277.0	5204.0
2022.11.11	09:00:00	5360.0	5352.0	5369.5
2022.11.14	09:00:00	5359.5	5363.0	5366.0
2022.11.17	09:05:00	5514.5	5514.5	5425.0
2022.11.18	09:00:00	5401.0	5406.5	5442.0
2022.11.21	09:00:00	5398.0	5388.5	5388.0
2022.11.22	09:00:00	5321.0	5312.5	5332.5
2022.11.23	09:00:00	5352.5	5358.0	5365.0
2022.11.24	09:00:00	5324.0	5328.0	5375.0
2022.11.28	09:00:00	5427.0	5425.5	5414.0
2022.11.29	09:00:00	5330.0	5332.5	5367.5
2022.11.30	09:00:00	5295.0	5292.0	5270.5
2022.12.01	09:00:00	5222.0	5223.0	5215.0
2022.12.05	09:00:00	5234.5	5240.0	5247.0
2022.12.06	09:00:00	5301.0	5298.0	5312.0
